ID,Typology,sphericity,surface_area,centroid_offset_mm,status
1_Sphere,,0.9996641556162752,0.12560587697550102,7.837890364871647e-06,success
2_Ellipsoid,,nan,0.12487263893306481,0.0003005088659040272,success
3_Rounded_cube,,0.8544183326412307,0.22639419319539697,0.00044095510649663625,success
4_Box,,0.8419369575326311,0.055895534621956545,0.00021593047919912765,success
5_Discoid,,0.7664096957497527,0.24267904839407373,0.00014569435868653575,success
QSY-A-0256,Polyhedron,0.8658387807746,61.21881741966333,1.5713675865264893,success
QSY-A-0562,Polyhedron,0.8269943694772834,20.005046258241315,1.4904419700063507,success
QSY-A-0570,Polyhedron,0.8255318059171537,64.8715986003948,1.2820954240767677,success
QSY-A-0576,Multifacial,0.809131349615503,27.5840360150059,2.1042499398265186,success
QSY-A-0579,Polyhedron,0.7988300452491439,26.190006224062095,1.1610405366096388,success
QSY-A-0680,Polyhedron,0.8032364129267309,8.276870541601475,1.2856732502901516,success
QSY-A-0682,Polyhedron,0.9166715226727595,628.8634259758624,6.530839296662846,success
QSY-A-0699,Polyhedron,0.8807450465213807,224.54664768428444,2.363452784794353,success
QSY-A-0700,Polyhedron,0.8933988193057515,252.89247631907915,1.0393353828534484,success
QSY-A-0702,Multifacial,0.841919487151122,192.4787307768037,6.9129604379851655,success
QSY-A-0735,Polyhedron,0.8678115973737975,112.1963805598675,2.5398577024817675,success
QSY-A-0938,Polyhedron,0.8690457019102871,57.327888395813915,4.001370757986052,success
QSY-A-1098,Spheroid,0.9191437590796299,105.82206497227833,1.0161485573139075,success
QSY-A-1111,Polyhedron,0.871798090777717,58.079458064919926,1.1095600842082893,success
QSY-A-1246,Subspheroid,0.893458696061013,95.96043637346429,1.9575804999863986,success
QSY-A-1304,Multifacial,0.9274082058892567,167.296004546171,3.038119878678372,success
QSY-A-1307,Polyhedron,0.8675301024626757,125.505889632986,3.550725456197147,success
QSY-A-1333,Polyhedron,0.860677292562301,71.34534229997708,2.5196384536468868,success
QSY-A-1517,Multifacial,0.7955195314232844,75.7844699352621,3.1710658566415093,success
QSY-A-1584,Polyhedron,0.8547083399760512,230.05775029205827,7.942392198509615,success
QSY-A-1777,Spheroid,0.896777850946641,25.519368613527163,1.4351670968856374,success
QSY-A-1941,Spheroid,0.9011202323440113,142.73914104469327,3.9645056949028055,success
QSY-A-2048,Subspheroid,0.891140644893676,550.4847639288822,6.442904782286377,success
QSY-A-2049,Multifacial,0.8688197621496302,74.33508600511652,1.4264024761719225,success
QSY-A-2213,Subspheroid,0.8779463074178454,131.41213417441065,3.005866557913671,success
QSY-A-2381,Multifacial,0.8757082207455505,224.56208437272528,4.23178841174863,success
QSY-A-2599,Polyhedron,0.9021322151995026,143.1068512240945,4.845816439296295,success
QSY-A-2600,Spheroid,0.9272417120847811,156.18727025733233,1.8629675128660346,success
QSY-A-2611,Multifacial,0.820360953811299,16.377768887438467,1.144922255245498,success
QSY-A-2717,Subspheroid,0.9045169342428673,182.50188204525602,3.6371260279034208,success
QSY-A-2723,Spheroid,0.9067063633944277,177.1102397571525,5.50512557432594,success
QSY-A-2797,Spheroid,0.9376837663568379,133.32583424969883,2.9504707850163645,success
QSY-B-003,Spheroid,0.9151880918949618,509.3617072454846,3.890027350562998,success
QSY-B-072,Subspheroid,0.9021261341344503,240.74457254936277,2.5645528812327028,success
QSY-B-136,Polyhedron,0.8791310592480729,46.75739723155821,1.8679753385929356,success
QSY-B-140,Polyhedron,0.8858050399077216,180.1015291319484,4.030923822321978,success
QSY-B-159,Multifacial,0.863110833809009,103.42865290581635,4.939932490565089,success
QSY-B-168,Polyhedron,0.8992439472993411,196.7159636360679,3.0839309044278167,success
QSY-B-186,Polyhedron,0.8688678020392876,108.56780490755531,2.674255525745281,success
QSY-B-189,Subspheroid,0.904507808775997,101.80695702840337,2.324629444985289,success
QSY-B-320,Polyhedron,0.8589857105354309,153.654870704805,1.606183456252499,success
QSY-B-435,Polyhedron,0.8578307358572455,67.43982452576715,2.2794249663424027,success
